ranking,title,artist,year,artist_first,lyrics_url,lyrics
1,Bad Day,Daniel Powter,2006,Daniel Powter,https://www.azlyrics.com/lyrics/danielpowter/badday.html,"

Where is the moment we needed the most
You kick up the leaves and the magic is lost
They tell me your blue skies fade to grey
They tell me your passion's gone away
And I don't need no carryin' on
You stand in the line just to hit a new low
You're faking a smile with the coffee to go
You tell me your life's been way off line
You're falling to pieces every time
And I don't need no carryin' on
'Cause you had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
The camera don't lie
You're coming back down and you really don't mind
You had a bad day
You had a bad day
Well, you need a blue sky holiday
The point is they laugh at what you say
And I don't need no carryin' on
You had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
The camera don't lie
You're coming back down and you really don't mind
You had a bad day
(Oh, what a horrible day)
Sometimes the system goes on the blink
And the whole thing turns out wrong
You might not make it back and you know
That you could be well, oh, that strong
And I'm not wrong
(Yeah, yeah, yeah, yeah)
So where is the passion when you need it the most
Oh, you and I
You kick up the leaves and the magic is lost
'Cause you had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
You've seen what you like
And how does it feel for one more time
You had a bad day
You had a bad day
Had a bad day
Had a bad day
Had a bad day
"
2,Temperature,Sean Paul,2006,Sean Paul,https://www.azlyrics.com/lyrics/seanpaul/temperature.html,"

The gal them Schillaci
Sean da Paul
So me give it to... so me give to... so me give it to to all girls
Five million and forty naughty shorty
Baby girl, all my girls, all my girls
Sean da Paul say
Well woman the way the time cold I wanna be keepin' you warm
I got the right temperature for shelter you from the storm
Oh lord, gal I got the right tactics to turn you on
And girl I wanna be the papa, you can be the mom
Make I see the gal them bruk out 'pon the floor from you don't want no worthless performer
From you don't want no man they can't turn you on gal make I see your hand them up on ya
Can't tan 'pon it long, naw eat no yam, no steam fish, nor no green banana
But down in Jamaica we give it to you hot like a sauna
Well woman the way the time cold I wanna be keepin' you warm
I got the right temperature for shelter you from the storm
Oh lord, gal I got the right tactics to turn you on
And girl I wanna be the papa, you can be the mom
Bumper exposed and gal you got your chest out but you no wasters 'cause gal you impress out
And if you des out a me you fi test out
'Cause I got the remedy to make you de-stress out
Me haffi flaunt it because me God Bless out, and girl if you want it you haffi confess out
A no lie weh we need set speed a fi test the mattress out
Well woman the way the time cold I wanna be keepin' you warm
I got the right temperature for shelter you from the storm
Oh lord, gal I got the right tactics to turn you on
And girl I wanna be the papa, you can be the mom
Gal don't say me crazy now,
This strange love it a no Bridgette and Flava show
Time fi a make baby now
So stop gwaan like you a act shady yo
Woman don't play me know,
'Cause I no Fred Sanford nor Grady yo
My lovin' is the way to go
My lovin' is the way to go
Well woman the way the time cold I wanna be keepin' you warm
I got the right temperature for shelter you from the storm
Oh lord, gal I got the right tactics to turn you on
And girl I wanna be the papa, you can be the mom
When you roll with a player like me, with a bredda like me girl there is no other
No need to talk it right here just park it right here keep it undercover
From me love how you fit inna you blouse and you fat inna you jeans and mi waan discover
Everything bout you baby girl can you hear when me utter
Well woman the way the time cold I wanna be keepin' you warm
I got the right temperature for shelter you from the storm
Oh lord, gal I got the right tactics to turn you on
And girl I wanna be the papa, you can be the mom
Make I see the gal them bruk out 'pon the floor from you don't want no worthless performer
From you don't want no man wey can't turn you on gal make I see your hand them up on ya
Can't tan 'pon it long, naw eat no yam, no steam fish, nor no green banana
But down in Jamaica we give it to you hot like a sauna
Well woman the way the time cold I wanna be keepin' you warm
I got the right temperature for shelter you from the storm
Oh lord, gal I got the right tactics to turn you on
And girl I wanna be the papa, you can be the mom
"
3,Promiscuous,Nelly Furtado Featuring Timbaland,2006,Nelly Furtado,https://www.azlyrics.com/lyrics/nellyfurtado/promiscuous.html,"

Am I throwing you off?
Nope
Didn't think so
How you doing, young lady?
That feelin' that you givin' really drives me crazy
You don't have a player on the choke
I was at a loss of words first time that we spoke
You're looking for a girl that'll treat you right
You lookin' for her in the day time with the light
You might be the type if I play my cards right
I'll find out by the end of the night
You expect me to just let you hit it
But will you still respect me if you get it
All I can do is try, gimme one chance
What's the problem I don't see no ring on your hand
I be the first to admit it, I'm curious about you, you seem so innocent
You wanna get in my world, get lost in it
Boy I'm tired of running, let's walk for a minute
Promiscuous girl wherever you are
I'm all alone and it's you that I want
Promiscuous boy you already know
That I'm all yours what you waiting for?
Promiscuous girl you're teasing me
You know what I want and I got what you need
Promiscuous boy let's get to the point
'Cause we're on a roll are you ready?
Roses are red
Some diamonds are blue
Chivalry is dead
But you're still kinda cute
Hey! I can't keep my mind off you
Where you at? Do you mind if I come through?
I'm out of this world come with me to my planet
Get you on my level. Do you think that you can handle it?
They call me Thomas
Last name Crowne
Recognize game
I'mma lay mine's down
I'm a big girl I can handle myself
But if I get lonely I'mma need your help
Pay attention to me I don't talk for my health
I want you on my team
So does everybody else.
Baby we can keep it on the low
Let your guard down ain't nobody gotta know
If you with it girl I know a place we can go
What kind of girl do you take me for?
Promiscuous girl, wherever you are
I'm all alone, and it's you that I want
Promiscuous boy, you already know
That I'm all yours, what you waiting for?
Promiscuous girl, you're teasing me
You know what I want, and I got what you need
Promiscuous boy, let's get to the point
'Cause we're on a roll, you ready?
Don't be mad, don't get mean
Don't get mad, don't be mean
Hey! Don't be mad, don't get mean
Don't get mad, don't be mean
Wait! I don't mean no harm
I can see you with my T-shirt on
I can see you with nothing on
Feeling on me before you bring that on
Bring that on?
You know what I mean
Girl, I'm a freak you shouldn't say those things
I'm only trying to get inside of your brain
To see if you can work me the way you say
It's OK, it's alright
I got something that you gon' like
Hey is that the truth or are you talking trash?
Is your game M.V.P. like Steve Nash?
Promiscuous girl wherever you are
I'm all alone and it's you that I want
Promiscuous boy I'm calling your name
But you're driving me crazy the way you're making me wait
Promiscuous girl you're teasing me
You know what I want and I got what you need
Promiscuous boy we're one and the same
So we don't gotta play games no more
"
4,You're Beautiful,James Blunt,2006,James Blunt,https://www.azlyrics.com/lyrics/jamesblunt/yourebeautiful.html,"

My life is brilliant
My life is brilliant
My love is pure
I saw an angel
Of that I'm sure
She smiled at me on the subway
She was with another man
But I won't lose no sleep on that
'Cause I've got a plan
You're beautiful. You're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you
Yes, she caught my eye
As we walked on by
She could see from my face that I was
Fucking high[Flying high - video/radio edited version]
And I don't think that I'll see her again
But we shared a moment that will last 'til the end
You're beautiful. You're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you
You're beautiful. You're beautiful
You're beautiful, it's true
There must be an angel with a smile on her face
When she thought up that I should be with you
But it's time to face the truth
I will never be with you
"
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006,Shakira,https://www.azlyrics.com/lyrics/shakira/hipsdontlie.html,"

Ladies up in here tonight
No fighting
We got the refugees up in here
No fighting, no fighting
Shakira, Shakira
I never really knew that she could dance like this
She make a man wanna speak Spanish
¿Cómo se llama (sí), bonita (sí), mi casa (sí, Shakira Shakira), su casa
Oh baby when you talk like that
You make a woman go mad
So be wise (Sí!) and keep on (Sí!)
Reading the signs of my body
(Uno, dos, tres, cuatro)
I'm on tonight
You know my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see baby? this is perfection
Hey girl, I can see your body moving
And it's driving me crazy
And I didn't have the slightest idea
Until I saw you dancing
And when you walk up on the dance floor
Nobody cannot ignore the way you move your body, girl (Just smooth)
And everything's so unexpected – the way you right and left it
So you can keep on shaking it (Let's go)
I never really knew that she could dance like this
She make a man wanna speak Spanish
¿Cómo se llama (sí), bonita (sí), mi casa (sí, Shakira Shakira), su casa
Oh baby when you talk like that
You make a woman go mad
So be wise (Sí!) and keep on (Sí!)
Reading the signs of my body
No fighting
I'm on tonight
You know my hips don't lie
No fighting
And I'm starting to feel you boy
Come on let's go, real slow
Don't you see baby? Así es perfecto
Baby, I know I'm on tonight my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see baby? This is perfection
Shakira, Shakira
Oh boy, I can see your body moving
Half animal, half man
I don't, don't really know what I'm doing
But you seem to have a plan
My will and self-restraint
Have come to fail now, fail now
See, I'm doing what I can, but I can't so you know
That's a bit too hard to explain
(Uno, dos, tres, cuatro)
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)
I never really knew that she could dance like this
She make a man wanna speak Spanish
¿Cómo se llama (sí), bonita (sí), mi casa (sí, Shakira Shakira), su casa
Oh baby when you talk like that
You know you got me hypnotized
So be wise (Sí!) and keep on (Sí!)
Reading the signs of my body
Señorita, feel the conga, let me see you move like you come from Colombia
Yeah, oh, yeah, ladies, sí! (Yeah, yeah, hey, yeah)
Mira en Barranquilla se baila así, say it!
Mira en Barranquilla se baila así
Yeah
She's so sexy every man's fantasy a refugee like me back with the Fugees from a third-world country
I go back like when 'pac carried crates for Humpty Humpty
We lead the whole club jazzy
Why the CIA wanna watch us?
Colombians and Haitians
I ain't guilty, it's a musical transaction
Bo-bop-so-bop, no more do we snatch ropes
Refugees run the seas 'cause we own our own boats, boats (No fighting)
I'm on tonight, my hips don't lie
And I'm starting to feel you boy
Come on let's go, real slow
Baby, like this is perfecto (No fighting)
Oh, you know I'm on tonight and my hips don't lie
And I'm starting to feel it's right
The attraction, the tension
Baby, like this is perfection
No fighting
No fighting
"
6,Unwritten,Natasha Bedingfield,2006,Natasha Bedingfield,https://www.azlyrics.com/lyrics/natashabedingfield/unwritten.html,"

I am unwritten, can't read my mind
I'm undefined
I'm just beginning, the pen's in my hand
Ending unplanned
Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you could not find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
I break tradition, sometimes my tries
Are outside the line
We've been conditioned to not make mistakes
But I can't live that way
Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you could not find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you could not find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
The rest is still unwritten
The rest is still unwritten
"
7,Crazy,Gnarls Barkley,2006,Gnarls Barkley,https://www.azlyrics.com/lyrics/gnarlsbarkley/crazy.html,"

I remember when, I remember, I remember when I lost my mind
There was something so pleasant about that place.
Even your emotions had an echo
In so much space
And when you're out there
Without care,
Yeah, I was out of touch
But it wasn't because I didn't know enough
I just knew too much
Does that make me crazy?
Does that make me crazy?
Does that make me crazy?
Possibly [radio version]
probably [album version]
And I hope that you are having the time of your life
But think twice, that's my only advice
Come on now, who do you, who do you, who do you, who do you think you are,
Ha ha ha bless your soul
You really think you're in control
Well, I think you're crazy
I think you're crazy
I think you're crazy
Just like me
My heroes had the heart to lose their lives out on a limb
And all I remember is thinking, I want to be like them
Ever since I was little, ever since I was little it looked like fun
And it's no coincidence I've come
And I can die when I'm done
Maybe I'm crazy
Maybe you're crazy
Maybe we're crazy
Probably
Uh, uh
"
8,Ridin',Chamillionaire Featuring Krayzie Bone,2006,Chamillionaire,https://www.azlyrics.com/lyrics/chamillionaire/ridin.html,"

They see me rolling
They hating
Patrolling they trying to catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
My music so loud
I'm swanging
They hoping that they gon' catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty[Chamillionaire:]
Police think they can see me lean
I'm tint so it ain't easy to be seen
Police see me ride by they can see the gleam
And my shine on the deck and the TV screen
Ride with a new chick, she like hold up
Next to the PlayStation controller
Is a full clip and my pistola
Send a jacker into a coma
Girl you ain't know, I'm crazy like Krayzie Bone
Just tryna bone ain't tryna have no babies
Ride clean as hell so I pull in ladies
Law's on patrol and you know they hate me
Music turned all the way up into the maximum
I got speakers, some niggas tryna jack for some
But we packing something and what we have for 'em
We'll have a nigga locked up in a maximum security cell,
I'm gripping oak
Music loud and I'm tipping slow
Twin's steady twisting like hit this dough
Police pull up right behind and it's in his throat
Windows down gotta stop pollution
CD changes niggas like, ""Who is that producing?""
That's the Play-N-Skillz when we out and cruising
Got warrants in every city except Houston but I'm still ain't losing
They see me rolling
They hating
Patrolling they trying to catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
My music so loud
I'm swanging
They hoping that they gon' catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty[Krayzie Bone:]
I been drinking and smoking
Holy shit 'cause I really can't focus
I gotta get it home 'fore the po po's scope this
Big old Excursion swerving
All up in the curbing
Nigga be sipping on the Hennessey and the gin again
It's in again, we in the wind
Doing a hundred while I puff on a blunt
And roll another one up, we living like we ain't giving a fuck
I got a blunt up in my right hand,
40 oz in my lap freezing my balls
Roll another tree, green leaves and all
Coming pretty deep, me and my dogs, yo
I gotta get the back streets
Wondering about the six pounds and I got heat
Glock Glock shots to the block we creep creep
Pop Pop hope cops don't see me, on a low key
With no regard for the law we dodge em like fuck em all
But I won't get caught up and brought up on charges for none of y'all
Keep a gun in car, and a blunt to spark,
Roll it up if you want, nigga, get it popping, dog
Ready or not we bust shots off in the air Krayzie Bone and Chamillionaire
They see me rolling
They hating
Patrolling they trying to catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
My music so loud
I'm swanging
They hoping that they gon' catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty[Chamillionaire:]
Now would you think it so? I tried to let you go
Turn on my blinker light and then I swang it slow
And they upset for sure, 'cause they think they know
That they catching me with plenty of the drank and dro
So they get behind me, tryna check my tags
Look in my rear view and they smiling
Thinking they'll catch me in the wrong, they keep trying
Steady denying that it's racial profiling
Houston, Texas, you can check my tags
Pull me over, try to check my slab
Glove compartment, gotta get my cash
'Cause the crooked cops'll try to come up fast
And being the baller that I am, I talk to them
Giving a damn about them not feeling my attitude
When they realize I ain't even riding dirty
Bet you'll be leaving with an even madder mood
I'mma laugh at you and then I'll have to cruise
Yeah, my #2 on some old-school DJ Screw
You can't arrest me, plus you can't sue
This is a message to the law, telling them, ""We hate you.""
I can't be touched and tell 'em that they shoulda known
Tipping down, I'm sitting crooked on my chrome
Bookin' my phone, finding a chick I wanna bone
Like they couldn't stop me I'm 'bout to pull up at your home and it's on[2x]
They see me rolling
They hating
Patrolling they trying to catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
My music so loud
I'm swanging
They hoping that they gon' catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
Tryna catch me riding dirty
"
9,SexyBack,Justin Timberlake,2006,Justin Timberlake,https://www.azlyrics.com/lyrics/justintimberlake/sexyback.html,"

I'm bringing sexy back
Them other boys don't know how to act
I think it's special, what's behind your back?
So turn around and I'll pick up the slack.
Take it to the bridge
Dirty babe
You see these shackles
Baby I'm your slave
I'll let you whip me if I misbehave
It's just that no one makes me feel this way
Take it to the chorus
Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
VIP
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it
Let me see what you're twerking with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it
And get your sexy on
Go ahead, be gone with it[7x]
Get your sexy on
Go ahead, be gone with it
Get your sexy on
I'm bringing sexy back
Them other fuckers don't know how to act
Come let me make up for the things you lack
'Cause you're burning up I gotta get it fast
Take it to the bridge
Dirty babe
You see these shackles
Baby I'm your slave
I'll let you whip me if I misbehave
It's just that no one makes me feel this way
Take it to the chorus!
Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
VIP
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it
Let me see what you're twerking with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it
And get your sexy on
Go ahead, be gone with it[7x]
Get your sexy on
Go ahead, be gone with it
Get your sexy on
You ready?
You ready?
You ready? Yes!
I'm bringing sexy back
You motherfuckers watch how I attack
If that's your girl you better watch your back
'Cause she'll burn it up for me and that's a fact
Take it to the chorus
Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
VIP
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it
Let me see what you're twerking with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it
And get your sexy on
Go ahead, be gone with it[7x]
Get your sexy on
Go ahead, be gone with it
Get your sexy on
You ready? Yes!
You ready? Yes!
You ready? Yes!
"
10,Check On It,Beyonce Featuring Slim Thug,2006,Beyoncé,https://www.azlyrics.com/lyrics/beyonceknowles/checkonit.html,"

Swiss Beats
DC - Destiny Child
Slim Thug[Slim Thug]
You need to stop playing round with all them clowns and the wangstas
Good girls gotta get down with them gangstas
Go head girl put some back and some neck up on it
While I stand up in the background and check up on it[Chorus]
Oh boy you looking like you like what you see
Won't you come over and check up on it, I'm gon' let you work up on it
Ladies let em check up on it, watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight
If you got it, flaunt it, boy I know you want it
While I turn around you watch me check up on it
Oh you watching me shake it, I see it in ya face
Ya can't take it, it's blazing, you watch me in amazement
You can look at it, as long as you don't grab it
If you don't go bragging, I'ma let you have it
You think that I'm teasing, but I ain't got no reason
I'm sure that I can please ya, but first I gotta read you[Chorus]
Oh boy you looking like you like what you see
Won't you come over and check up on it, I'm gon' let you work up on it
Ladies let em check up on it, watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight [2x]
I can tell you wanna taste it, but I'm gon' make you chase it
You got to be patient, I like my men patient
More patience, you take might get you in more places
You can't be abrasive, have to know to pace it
If I let you get up on it, you gotta make a promise
That you gon' put it on me, like no ones put it on me
Don't bore me, just show me, all men talk but don't please
I can be a tease, but I really wanna please you[Chorus]
Oh boy you looking like you like what you see
Won't you come over and check up on it, I'm gon' let you work up on it
Ladies let em check up on it, watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight [2x][Bun B]
I'm checking on you boo, do what you do
And while dance I'ma glance at this beautiful view
I'm keep my hands in my pants, I need to glue 'em with glue
I'm in a trance all eyes on you and your crew
Me and my mans don't dance, but to feel ya'll bump and grind
It won't hurt if you gon' try one time
They all hot, but let me see this ones mine
Its slim thug and DC outta H town[Chorus]
Oh boy you looking like you like what you see
Won't you come over and check up on it, I'm gon' let you work up on it
Ladies let em check up on it, watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight [4x]
"
